#ncbi_taxid	cluster_id	cluster_size	best_described_by
9606	CL:1	19353	cell
9606	CL:100	14515	cell
9606	CL:10014	6	Thrombophilia, and Thrombin receptor
9606	CL:10038	5	mixed, incl. Fetuin-B-type cystatin domain, and Protein-cysteine N-palmitoyltransferase HHAT
9606	CL:10048	49	complement activation, and Hemolytic uremic syndrome
9606	CL:10050	42	complement activation
9606	CL:10051	21	complement activation, alternative pathway, and Hemolytic uremic syndrome
9606	CL:10052	12	Hemolytic uremic syndrome, and Complement factor D
9606	CL:10054	7	Hemolytic uremic syndrome, and Complement factor D
9606	CL:10077	5	Membrane attack complex
9606	CL:10093	20	Initial triggering of complement, and complement component C4b binding
9606	CL:10095	11	Classical antibody-mediated complement activation, and Complement component C4-A
9606	CL:10096	6	Classical antibody-mediated complement activation
9606	CL:101	14428	cell
9606	CL:10107	5	Complement component C4-A, and Complement C2
9606	CL:1011	6	collagen binding involved in cell-matrix adhesion, and Integrin beta-8 subunit
9606	CL:10117	8	complement activation, lectin pathway
9606	CL:10145	20	platelet dense granule lumen, and peptide antigen transport
9606	CL:10147	11	platelet dense granule lumen
9606	CL:10151	6	platelet dense granule lumen
9606	CL:10173	6	mixed, incl. peptide antigen transport, and Acyl-CoA desaturase
9606	CL:10184	6	mixed, incl. Inter-alpha-trypsin inhibitor heavy chain C-terminus, and thyroid hormone transport
9606	CL:10196	22	mixed, incl. vitamin D metabolic process, and Defective CUBN causes hereditary megaloblastic anemia 1
9606	CL:10198	12	mixed, incl. positive regulation of vitamin D 24-hydroxylase activity, and Vitamins
9606	CL:102	14381	cell
9606	CL:10200	5	response to sodium phosphate, and Na+/Pi-cotransporter
9606	CL:10211	5	Vitamins, and Vitamin D receptor
9606	CL:10225	5	Defective CUBN causes hereditary megaloblastic anemia 1, and Vitamin D-binding protein
9606	CL:10246	108	specific granule lumen, and azurophil granule lumen
9606	CL:10247	56	specific granule lumen, and Vitamin B6 metabolism
9606	CL:10249	48	specific granule lumen, and tertiary granule lumen
9606	CL:10251	41	specific granule lumen
9606	CL:10253	25	specific granule lumen
9606	CL:10256	17	specific granule lumen
9606	CL:10260	11	specific granule lumen
9606	CL:10261	6	mixed, incl. Cathelicidin, and neutrophil mediated killing of fungus
9606	CL:1027	6	integrin alphaL-beta2 complex, and Intercellular adhesion molecule/vascular cell adhesion molecule, N-terminal
9606	CL:10272	5	mixed, incl. Lysozyme C, and Olfactomedin-4
9606	CL:103	14330	cell
9606	CL:10307	10	tertiary granule lumen
9606	CL:10309	5	Cathepsin D, and Cathepsin propeptide inhibitor domain (I29)
9606	CL:10358	52	azurophil granule lumen, and Other glycan degradation
9606	CL:10361	41	azurophil granule lumen
9606	CL:10362	34	azurophil granule lumen
9606	CL:10364	29	azurophil granule lumen
9606	CL:10367	24	azurophil granule lumen
9606	CL:10369	11	mixed, incl. neutrophil mediated killing of bacterium, and Pancreatic ribonuclease
9606	CL:10373	6	mixed, incl. neutrophil mediated killing of bacterium, and Myeloperoxidase
9606	CL:10393	11	mixed, incl. Alpha-L-fucosidase, and Sulfatase, conserved site
9606	CL:10395	6	mixed, incl. Alpha-L-fucosidase, and Granulin
9606	CL:104	14294	cell
9606	CL:10429	7	Gangliosidosis, and BNR repeat-like domain
9606	CL:10449	5	Lysosomal oligosaccharide catabolism, and Cathepsin E
9606	CL:1046	19	mixed, incl. entry of bacterium into host cell, and EF-hand, Ca insensitive
9606	CL:10461	106	mixed, incl. Chondroitin sulfate/dermatan sulfate metabolism, and Glycosaminoglycan biosynthesis - heparan sulfate / heparin
9606	CL:10462	99	mixed, incl. Chondroitin sulfate/dermatan sulfate metabolism, and Glycosaminoglycan biosynthesis - heparan sulfate / heparin
9606	CL:10463	93	Chondroitin sulfate/dermatan sulfate metabolism, and Glycosaminoglycan biosynthesis - heparan sulfate / heparin
9606	CL:10464	65	proteoglycan biosynthetic process, and HS-GAG biosynthesis
9606	CL:10466	58	proteoglycan biosynthetic process, and Defective EXT1 causes exostoses 1, TRPS2 and CHDS
9606	CL:10468	28	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate, and Defective CHST14 causes EDS, musculocontractural type
