#ncbi_taxid	child_cluster_id	parent_cluster_id
9606	CL:100	CL:99
9606	CL:10014	CL:9985
9606	CL:10038	CL:9921
9606	CL:10048	CL:9722
9606	CL:10050	CL:10048
9606	CL:10051	CL:10050
9606	CL:10052	CL:10051
9606	CL:10054	CL:10052
9606	CL:10077	CL:10051
9606	CL:10093	CL:10050
9606	CL:10095	CL:10093
9606	CL:10096	CL:10095
9606	CL:101	CL:100
9606	CL:10107	CL:10095
9606	CL:1011	CL:995
9606	CL:10117	CL:10093
9606	CL:10145	CL:9721
9606	CL:10147	CL:10145
9606	CL:10151	CL:10147
9606	CL:10173	CL:10145
9606	CL:10184	CL:9720
9606	CL:10196	CL:9719
9606	CL:10198	CL:10196
9606	CL:102	CL:101
9606	CL:10200	CL:10198
9606	CL:10211	CL:10198
9606	CL:10225	CL:10196
9606	CL:10246	CL:9718
9606	CL:10247	CL:10246
9606	CL:10249	CL:10247
9606	CL:10251	CL:10249
9606	CL:10253	CL:10251
9606	CL:10256	CL:10253
9606	CL:10260	CL:10256
9606	CL:10261	CL:10260
9606	CL:1027	CL:992
9606	CL:10272	CL:10260
9606	CL:103	CL:102
9606	CL:10307	CL:10251
9606	CL:10309	CL:10307
9606	CL:10358	CL:10246
9606	CL:10361	CL:10358
9606	CL:10362	CL:10361
9606	CL:10364	CL:10362
9606	CL:10367	CL:10364
9606	CL:10369	CL:10367
9606	CL:10373	CL:10369
9606	CL:10393	CL:10367
9606	CL:10395	CL:10393
9606	CL:104	CL:103
9606	CL:10429	CL:10361
9606	CL:10449	CL:10358
9606	CL:1046	CL:990
9606	CL:10461	CL:9717
9606	CL:10462	CL:10461
9606	CL:10463	CL:10462
9606	CL:10464	CL:10463
9606	CL:10466	CL:10464
9606	CL:10468	CL:10466
9606	CL:10469	CL:10468
9606	CL:1047	CL:1046
9606	CL:10470	CL:10469
9606	CL:10472	CL:10470
9606	CL:1048	CL:1047
9606	CL:10498	CL:10469
9606	CL:105	CL:104
9606	CL:10510	CL:10468
9606	CL:10528	CL:10466
9606	CL:10530	CL:10528
9606	CL:10533	CL:10530
9606	CL:10537	CL:10533
9606	CL:10539	CL:10537
9606	CL:1059	CL:1047
9606	CL:10593	CL:10463
9606	CL:10595	CL:10593
9606	CL:10598	CL:10595
9606	CL:106	CL:105
9606	CL:10602	CL:10598
9606	CL:10619	CL:10595
9606	CL:10636	CL:10593
9606	CL:10648	CL:10462
9606	CL:10660	CL:10461
9606	CL:10672	CL:9716
9606	CL:10673	CL:10672
9606	CL:10674	CL:10673
9606	CL:10675	CL:10674
9606	CL:10676	CL:10675
9606	CL:10678	CL:10676
9606	CL:1068	CL:1046
9606	CL:10680	CL:10678
9606	CL:10682	CL:10680
9606	CL:107	CL:106
9606	CL:10715	CL:10676
9606	CL:10729	CL:10675
9606	CL:10741	CL:10674
9606	CL:10757	CL:10673
9606	CL:10772	CL:10672
9606	CL:10774	CL:10772
9606	CL:10775	CL:10774
9606	CL:10777	CL:10775
9606	CL:10789	CL:10775
9606	CL:10798	CL:10774
9606	CL:108	CL:107
9606	CL:10814	CL:10772
