uniprot,predictive,VIP
A0A023I8L7,0.018896,0.26189
A0A023Q875,-1.7764,1.1377
A0A023T6R1,-1.5855,0.63592
A0A023T787,2.245,1.0881
A0A024F8H3,1.5021,0.94938
A0A024QYR3,-0.27692,0.26986
A0A024QYR6,1.7713,0.74441
A0A024QYR8,2.4232,1.1381
A0A024QYT5,-0.36126,0.18145
A0A024QYV3,0.38017,0.32457
A0A024QYV5,0.32847,0.36174
A0A024QYW3,0.2607,0.060431
A0A024QYX1,0.1899,0.31694
A0A024QYX3,-1.1975,0.43095
A0A024QYY1,3.3057,1.7552
A0A024QYY3,-0.41374,0.055645
A0A024QYY9,-3.3465,1.6598
A0A024QZ20,-1.015,0.34504
A0A024QZ30,-2.5887,1.1883
A0A024QZ45,-0.27719,0.17072
A0A024QZ47,-1.0061,0.50668
A0A024QZ70,-2.0954,0.8771
A0A024QZ75,1.6464,0.67412
A0A024QZ89,-2.0604,1.2565
A0A024QZ97,0.70756,0.5862
A0A024QZB4,-0.62493,0.59768
A0A024QZC1,-2.104,1.1654
A0A024QZC8,0.68027,0.31875
A0A024QZD2,-1.2174,0.7148
A0A024QZE1,3.5203,1.8373
A0A024QZE6,-0.2047,0.11369
A0A024QZE9,0.827,0.70793
A0A024QZF1,0.36067,0.2899
A0A024QZF2,-1.6562,0.9139
A0A024QZH6,-0.70779,0.15434
A0A024QZI2,0.7281,0.27216
A0A024QZI5,-0.023591,0.13357
A0A024QZJ7,0.75218,0.49422
A0A024QZK8,3.1051,1.7099
A0A024QZM2,-2.162,1.2208
A0A024QZM3,-0.71908,0.13475
A0A024QZN5,-0.55241,0.33663
A0A024QZN6,-0.67076,0.43567
A0A024QZN7,-3.0017,1.7009
A0A024QZN9,-1.2377,0.64763
A0A024QZR3,2.6725,1.5572
A0A024QZS4,-2.1458,1.1228
A0A024QZT2,-3.0633,1.605
A0A024QZT4,-0.616,0.48189
A0A024QZT9,3.1461,1.6392
A0A024QZU8,-0.58495,0.14076
A0A024QZW0,-1.5972,0.87835
A0A024QZW2,2.634,1.399
A0A024QZW3,1.3139,0.94183
A0A024QZW7,-2.857,1.3252
A0A024QZX0,2.2235,1.2796
A0A024QZY1,-1.0818,0.41063
A0A024QZY4,-1.6155,0.91797
A0A024QZY5,-1.2506,0.53156
A0A024R001,-1.056,0.4135
A0A024R012,-3.3187,1.7419
A0A024R023,-3.0271,1.6405
A0A024R036,-2.6215,1.4032
A0A024R046,2.1749,1.0412
A0A024R050,0.59869,0.35994
A0A024R056,-2.4913,1.2753
A0A024R061,-1.218,0.83137
A0A024R098,-1.1791,0.48692
A0A024R0A8,-0.59342,0.22954
A0A024R0C0,1.7707,0.9522
A0A024R0C3,-2.9633,1.6885
A0A024R0C7,-2.5506,1.2442
A0A024R0D2,0.39557,0.17756
A0A024R0E2,1.6485,1.0287
A0A024R0F1,-0.13662,0.22299
A0A024R0F6,-1.2059,0.59869
A0A024R0G0,1.5663,1.0098
A0A024R0H2,-0.052647,0.25705
A0A024R0J7,0.78017,0.1439
A0A024R0L2,0.13956,0.32853
A0A024R0L4,1.1544,0.76849
A0A024R0L5,-2.3621,1.1613
A0A024R0L6,-1.9034,0.87432
A0A024R0M6,-0.8357,0.50893
A0A024R0N7,1.8382,0.87864
A0A024R0Q0,1.7026,0.96535
A0A024R0Q4,0.95706,0.3757
A0A024R0Q5,-1.4952,0.67268
A0A024R0Q6,2.7996,1.3095
A0A024R0R4,-2.314,1.0241
A0A024R0T1,-2.3062,1.2985
A0A024R0V4,-1.1624,0.42111
A0A024R0W3,1.721,1.0264
A0A024R0W7,-2.1023,1.1823
A0A024R0X0,1.8795,0.88089
A0A024R0X8,0.11932,0.09373
A0A024R0Z3,-0.6608,0.25421
A0A024R0Z5,0.93226,0.24292
A0A024R101,-2.0337,1.1076
A0A024R102,-2.038,0.90832
A0A024R125,-2.6279,1.4348
A0A024R127,3.7409,1.9943
A0A024R128,0.8343,0.60855
A0A024R136,2.2944,1.1178
A0A024R152,-0.94959,0.37738
A0A024R161,3.4262,1.8409
A0A024R172,-0.26312,0.018194
A0A024R178,1.172,0.79659
A0A024R188,2.1119,1.2414
A0A024R1A3,-2.0367,0.8777
A0A024R1A4,0.92694,0.67123
A0A024R1C1,1.2622,0.76357
A0A024R1C2,-1.606,0.78614
A0A024R1D6,0.16019,0.07537
A0A024R1I5,1.6217,0.98586
A0A024R1J5,-1.0277,0.28553
A0A024R1K0,-2.2604,0.99747
A0A024R1K7,-2.1155,1.1464
A0A024R1M6,3.221,1.7029
A0A024R1N4,-0.7689,0.27108
A0A024R1Q5,-2.113,1.3057
A0A024R1Q8,1.4473,0.70122
A0A024R1S7,1.6548,0.77089
A0A024R1S8,-2.3569,1.1395
A0A024R1T1,-1.1671,0.39945
A0A024R1U2,1.1845,0.82718
A0A024R1U4,-2.845,1.4494
A0A024R1U5,0.74179,0.53339
