uniprot,predictive,VIP
A0A023I8L7,3.6645,1.2628
A0A023Q875,0.30554,0.1365
A0A023Q8P7,-0.73533,0.28265
A0A023T6R1,-0.91925,0.13061
A0A023T787,-1.1999,0.46301
A0A024F8H3,-0.30641,0.13143
A0A024QYR3,5.0538,2.0751
A0A024QYR6,-2.2107,1.0635
A0A024QYR8,5.6861,2.1757
A0A024QYT5,2.758,0.98713
A0A024QYV3,-1.8084,0.64428
A0A024QYV5,0.84277,0.45951
A0A024QYW3,-1.9711,0.56715
A0A024QYX0,0.010714,0.17891
A0A024QYX1,-3.9381,1.5785
A0A024QYX3,-0.92808,0.66224
A0A024QYY1,0.37006,0.0015076
A0A024QYY3,-1.9445,0.63975
A0A024QYY7,0.83425,0.51188
A0A024QYY9,-5.1692,2.1468
A0A024QZ20,-2.1191,0.91145
A0A024QZ30,-0.20055,0.30184
A0A024QZ45,-0.17129,0.26573
A0A024QZ70,-1.0556,0.5376
A0A024QZ75,4.32,1.9651
A0A024QZ78,2.7237,0.84444
A0A024QZ89,-1.6651,0.2098
A0A024QZB4,-0.54334,0.080575
A0A024QZC1,-0.42962,0.37598
A0A024QZC8,-1.1942,0.67274
A0A024QZD2,-3.7129,1.3709
A0A024QZE1,-1.212,0.57733
A0A024QZE6,-0.65434,0.28379
A0A024QZE9,1.7684,0.7205
A0A024QZF1,-0.080042,0.17382
A0A024QZF2,-3.5149,1.6906
A0A024QZF8,0.58323,0.46061
A0A024QZH6,0.1879,0.069223
A0A024QZI2,-1.5385,0.86203
A0A024QZI5,2.6967,1.2277
A0A024QZJ7,-0.00066212,0.032612
A0A024QZK8,-0.98905,0.67376
A0A024QZL1,0.03205,0.015769
A0A024QZM2,-3.3584,1.5116
A0A024QZM3,-3.2306,1.4034
A0A024QZN5,-0.43816,0.13966
A0A024QZN6,-0.26845,0.17816
A0A024QZN7,-0.2998,0.092942
A0A024QZN9,0.17964,0.00725
A0A024QZR3,1.9681,0.75879
A0A024QZS4,4.4856,1.7642
A0A024QZT2,-2.7766,0.94333
A0A024QZT4,1.3446,0.75997
A0A024QZT9,1.3694,0.31199
A0A024QZU8,0.23883,0.21164
A0A024QZW0,0.39772,0.07782
A0A024QZW2,2.9389,1.3192
A0A024QZW3,-1.5385,0.35925
A0A024QZW7,-0.082114,0.067063
A0A024QZX0,-2.3754,0.67752
A0A024QZY1,1.4698,0.41491
A0A024QZY3,-1.0814,0.56905
A0A024QZY4,-0.056944,0.33769
A0A024QZY5,-0.54941,0.061521
A0A024R001,-0.28464,0.36275
A0A024R006,-1.2382,0.27746
