uniprot,predictive,VIP
A0A023Q875,-3.0347,1.7227
A0A023Q8P7,-3.1106,1.763
A0A023T6R1,-0.26103,0.070768
A0A023T787,-0.84299,0.51409
A0A024DAK3,-0.6916,0.43242
A0A024F8H3,1.9051,1.1423
A0A024QYR3,1.3671,0.79088
A0A024QYR6,-0.2006,0.010885
A0A024QYR8,2.7425,1.5337
A0A024QYT5,-1.1024,0.76134
A0A024QYV3,-0.68096,0.38234
A0A024QYV5,0.31188,0.17474
A0A024QYW3,2.0691,1.1265
A0A024QYX1,-0.57305,0.25582
A0A024QYX3,1.0836,0.58033
A0A024QYY1,-1.5178,0.65618
A0A024QYY3,0.44106,0.17918
A0A024QYY7,-2.1522,1.2307
A0A024QYY9,-1.2893,0.80877
A0A024QZ09,2.2412,0.99424
A0A024QZ20,-2.0809,1.2517
A0A024QZ30,-1.636,0.96053
A0A024QZ47,-2.4527,1.2779
A0A024QZ70,-2.5693,1.4061
A0A024QZ75,1.2213,0.39449
A0A024QZ89,0.42211,0.36279
A0A024QZ97,2.2386,1.2867
A0A024QZB4,-2.6224,1.3842
A0A024QZC1,-1.8549,1.0874
A0A024QZD2,2.5425,1.2833
A0A024QZE1,2.701,1.4157
A0A024QZE6,1.915,1.127
A0A024QZE9,1.2385,0.68063
A0A024QZF1,-0.41325,0.051534
A0A024QZF2,-0.34297,0.21402
A0A024QZH6,1.1736,0.6122
A0A024QZI2,-0.75833,0.22972
A0A024QZI5,2.1718,1.1681
A0A024QZJ7,-2.5875,1.5191
A0A024QZK8,2.2598,1.3503
A0A024QZM2,-1.2842,0.79483
A0A024QZM3,2.6375,1.5266
A0A024QZN6,1.7357,0.91241
A0A024QZN7,0.57766,0.33789
A0A024QZN9,0.55663,0.24046
A0A024QZR3,1.2854,0.73646
A0A024QZS4,2.5995,1.533
A0A024QZT2,-1.4,0.87191
A0A024QZT4,0.071818,0.21559
A0A024QZT9,3.1623,1.925
A0A024QZW0,1.1121,0.74258
A0A024QZW2,-1.9147,1.148
A0A024QZW3,1.396,0.67288
A0A024QZW7,0.078781,0.084583
A0A024QZY1,0.36584,0.099383
A0A024QZY4,1.0895,0.59328
A0A024QZY5,-0.99682,0.4591
A0A024R001,-1.8594,1.2154
A0A024R006,-2.317,1.2765
A0A024R012,-2.7198,1.4842
A0A024R023,-3.0454,1.7119
A0A024R036,-1.4435,0.83364
A0A024R046,0.32864,0.1034
A0A024R056,-1.2915,0.62413
A0A024R061,0.20059,0.17637
A0A024R096,0.65749,0.27275
A0A024R098,0.66587,0.45587
A0A024R0A4,0.74462,0.29037
A0A024R0A8,2.5986,1.5055
A0A024R0C0,0.95374,0.61645
A0A024R0C3,-1.1037,0.68418
A0A024R0C7,-3.1227,1.8166
A0A024R0D2,0.24915,0.040232
A0A024R0E2,2.6785,1.3201
A0A024R0F1,-2.0968,1.0046
A0A024R0F6,-1.7898,0.96418
A0A024R0G0,2.7836,1.4853
A0A024R0H2,-2.6037,1.3946
A0A024R0H5,-1.9835,1.0665
A0A024R0J7,0.040697,0.0082724
A0A024R0L2,-1.0477,0.35445
A0A024R0L4,-2.7708,1.554
A0A024R0L5,-2.807,1.5914
A0A024R0L6,1.4981,0.91163
A0A024R0M6,-2.592,1.4207
A0A024R0N7,0.45808,0.03722
A0A024R0Q0,0.12038,0.021182
A0A024R0Q4,2.654,1.5138
A0A024R0Q5,-2.0885,1.2982
A0A024R0R4,0.31997,0.23838
A0A024R0T1,-1.4952,0.95722
A0A024R0V3,-1.6636,0.95785
A0A024R0V4,-1.9698,1.115
A0A024R0W7,-0.86589,0.51499
A0A024R0X0,-2.1768,1.2008
A0A024R0Z3,-0.7689,0.30728
A0A024R0Z5,-1.3256,0.72198
A0A024R101,-1.6657,0.9983
A0A024R102,-1.9095,1.0241
A0A024R125,-2.6158,1.5048
A0A024R127,3.4935,1.9547
A0A024R128,1.1658,0.60207
A0A024R152,0.9223,0.51
A0A024R172,1.4908,0.83081
A0A024R178,0.45872,0.29471
A0A024R188,-0.25937,0.1668
A0A024R1A3,0.22583,0.034959
A0A024R1A4,1.4301,0.87014
A0A024R1B9,-0.83206,0.34245
A0A024R1C1,0.75459,0.51108
A0A024R1C2,-1.8393,1.0753
A0A024R1D6,-0.082601,0.074587
A0A024R1G9,2.066,1.126
A0A024R1I5,2.0535,1.1759
A0A024R1J5,-1.2155,0.64941
A0A024R1K0,1.6855,1.1909
A0A024R1K7,-0.43865,0.21362
A0A024R1M6,-1.1852,0.6263
A0A024R1N4,-1.0503,0.46325
A0A024R1Q5,1.3628,0.85617
A0A024R1Q8,-2.5752,1.449
A0A024R1S7,-0.19358,0.15216
A0A024R1S8,-2.18,1.2886
A0A024R1T1,-3.0966,1.7999
A0A024R1U2,-0.97082,0.47955
A0A024R1U4,-2.1997,1.2588
A0A024R1U5,2.987,1.5788
A0A024R1V4,0.51964,0.2223
A0A024R1X0,-0.80176,0.39958
A0A024R1X3,-1.7818,0.99715
A0A024R1X5,-0.35971,0.054419
A0A024R1X8,1.8406,0.90526
A0A024R1Y2,-0.19503,0.014901
A0A024R1Y7,0.40676,0.16316
A0A024R1Z1,2.4055,1.238
A0A024R201,0.93144,0.7041
A0A024R231,3.095,1.7803
A0A024R233,-2.3642,1.3866
A0A024R248,-0.36234,0.20206
A0A024R250,1.1181,0.68558
A0A024R259,0.80438,0.41266
A0A024R275,0.85297,0.54725
A0A024R292,3.1153,1.7303
A0A024R2A7,1.0988,0.67085
A0A024R2F2,-2.106,1.0704
A0A024R2F8,0.10666,0.12653
A0A024R2G1,1.6482,0.8361
A0A024R2H7,-2.6688,1.4902
