ensembl,predictive,VIP
ENSG00000000003,0.69232,0.58932
ENSG00000000419,2.564,1.34
ENSG00000000457,1.2059,0.78037
ENSG00000000460,1.1863,0.57603
ENSG00000000971,2.8926,1.5981
ENSG00000001036,3.2895,1.7982
ENSG00000001084,2.1194,1.2113
ENSG00000001167,1.9764,1.1626
ENSG00000001460,-2.8864,1.6032
ENSG00000001461,-3.4721,1.902
ENSG00000001497,-0.31467,0.24822
ENSG00000001561,-0.58081,0.33814
ENSG00000001617,-0.057785,0.0093356
ENSG00000001626,1.2399,0.7775
ENSG00000001629,0.77231,0.41955
ENSG00000001630,-0.66334,0.49923
ENSG00000001631,-0.27839,0.053025
ENSG00000002016,-1.1887,0.55242
ENSG00000002079,-0.58853,0.33752
ENSG00000002330,-0.2228,0.15177
ENSG00000002549,1.5704,0.88673
ENSG00000002587,2.7859,1.4343
ENSG00000002822,-1.8189,0.92796
ENSG00000002834,-2.48,1.3765
ENSG00000002919,-2.3456,1.2298
ENSG00000003056,2.783,1.4075
ENSG00000003096,-0.29072,0.17489
ENSG00000003137,-0.79298,0.52767
ENSG00000003147,-2.4683,1.2828
ENSG00000003249,-3.3596,1.8065
ENSG00000003393,-1.9316,1.0942
ENSG00000003400,3.131,1.7665
ENSG00000003402,1.1296,0.55893
ENSG00000003436,1.3528,0.79599
ENSG00000003509,0.75789,0.46057
ENSG00000003756,-3.3434,1.6682
ENSG00000003987,-1.4423,0.70033
ENSG00000003989,2.216,1.231
ENSG00000004059,-2.2855,1.203
ENSG00000004139,-2.0482,1.0537
ENSG00000004142,0.95731,0.43901
ENSG00000004399,-3.7335,2.0201
ENSG00000004455,0.90029,0.48997
ENSG00000004468,3.6131,1.9465
ENSG00000004478,1.2134,0.54595
ENSG00000004487,-2.7415,1.376
ENSG00000004534,-2.0455,0.95849
ENSG00000004660,-1.1546,0.6484
ENSG00000004700,1.7017,0.89215
ENSG00000004766,-0.36928,0.15822
ENSG00000004776,-2.9963,1.5251
ENSG00000004777,-1.2448,0.80015
ENSG00000004779,1.7764,1.0596
ENSG00000004799,3.5245,1.8836
ENSG00000004838,2.6909,1.4301
ENSG00000004864,2.9935,1.5528
ENSG00000004866,0.76517,0.42353
ENSG00000004897,1.3014,0.71449
ENSG00000004961,-1.466,0.86624
ENSG00000004975,0.29783,0.22525
ENSG00000005007,-2.8963,1.5995
ENSG00000005020,0.94707,0.42509
ENSG00000005022,0.62215,0.31389
ENSG00000005059,-2.0101,1.0642
ENSG00000005073,1.7194,0.95085
ENSG00000005075,0.24717,0.14076
ENSG00000005100,-0.97914,0.62626
ENSG00000005102,-3.1977,1.5892
ENSG00000005156,0.82127,0.3262
ENSG00000005175,1.4235,0.83138
ENSG00000005189,-1.8617,0.93197
ENSG00000005194,-2.4026,1.2307
ENSG00000005206,-1.1881,0.64301
ENSG00000005238,1.3897,0.70576
ENSG00000005243,0.0048476,0.038453
ENSG00000005249,3.5221,1.8466
ENSG00000005302,-1.53,0.72821
ENSG00000005339,-0.25226,0.062816
ENSG00000005379,0.18528,0.10155
ENSG00000005436,-0.72453,0.52619
ENSG00000005448,2.3044,1.2663
ENSG00000005469,-0.015953,0.073393
ENSG00000005471,2.1927,1.1648
ENSG00000005483,2.4536,1.3762
ENSG00000005486,0.49348,0.33005
ENSG00000005700,1.857,0.93686
ENSG00000005801,-1.956,1.0072
ENSG00000005810,1.2827,0.68597
ENSG00000005812,-1.4275,0.74588
ENSG00000005882,-1.3742,0.60775
ENSG00000005884,-0.050309,0.20929
ENSG00000005889,0.98307,0.48716
