uniprot,predictive,VIP
A0A023I7W4,-1.8431,0.93316
A0A023I8L7,-1.9216,0.92537
A0A023Q875,-2.9298,1.4903
A0A023Q8P7,-2.4097,1.193
A0A023T6R1,-0.89667,0.39292
A0A023T787,-0.17729,0.039065
A0A024F8H3,1.387,0.80518
A0A024QYR3,3.1784,1.7159
A0A024QYR6,1.7553,0.9144
A0A024QYR8,2.9657,1.6029
A0A024QYT5,-3.5065,1.881
A0A024QYV3,0.93258,0.46726
A0A024QYV5,2.6141,1.4092
A0A024QYW3,-1.9427,0.92602
A0A024QYX0,0.35259,0.37363
A0A024QYX1,1.3194,0.71305
A0A024QYX3,-0.22963,0.23235
A0A024QYY1,0.01612,0.0085273
A0A024QYY3,0.87371,0.36728
A0A024QYY7,-0.54343,0.23343
A0A024QYY9,-3.0506,1.6304
A0A024QZ09,0.44596,0.28123
A0A024QZ20,-1.4651,0.65187
A0A024QZ30,-2.0269,1.0372
A0A024QZ45,-0.82402,0.44378
A0A024QZ70,0.98672,0.52908
A0A024QZ89,1.5166,0.66067
A0A024QZB4,-1.198,0.61424
A0A024QZB9,1.531,0.7158
A0A024QZC1,-0.54657,0.4243
A0A024QZD2,0.84277,0.47623
A0A024QZE1,1.0688,0.48311
A0A024QZE6,0.93005,0.5427
A0A024QZE9,-1.2812,0.68755
A0A024QZF1,1.6498,0.85305
A0A024QZF2,-2.121,0.98998
A0A024QZH6,1.5556,0.81376
A0A024QZI2,0.36398,0.1116
A0A024QZJ7,-0.29447,0.24821
A0A024QZK8,1.7616,0.88822
A0A024QZM2,-0.16444,0.15153
A0A024QZM3,1.3305,0.52587
A0A024QZN5,-1.801,0.86721
A0A024QZN6,3.0676,1.5772
A0A024QZN7,1.1798,0.56797
A0A024QZN9,-2.3052,1.0356
A0A024QZR3,2.5699,1.2277
A0A024QZS4,3.6833,1.8991
A0A024QZT2,-3.132,1.5602
A0A024QZT4,-1.3557,0.71525
A0A024QZT9,1.1789,0.60542
A0A024QZW0,2.7076,1.426
A0A024QZW2,-1.4853,0.61746
A0A024QZW3,2.1943,1.1806
A0A024QZW7,0.75004,0.35745
A0A024QZX0,-1.008,0.40679
A0A024QZY1,-1.5483,0.83616
A0A024QZY4,0.3088,0.25031
A0A024QZY5,-1.9243,0.84262
A0A024R001,-2.4021,1.2088
A0A024R006,0.46917,0.23085
A0A024R012,-3.1843,1.54
A0A024R023,-3.0422,1.5908
A0A024R036,-2.4984,1.3809
A0A024R046,1.21,0.5845
A0A024R050,1.4806,0.84348
A0A024R056,-1.8111,0.80128
A0A024R061,0.2258,0.060989
A0A024R098,3.1706,1.559
A0A024R0A8,1.8935,1.0141
A0A024R0B8,-2.6399,1.2626
A0A024R0C0,-0.65869,0.20633
A0A024R0C3,-3.384,1.7234
A0A024R0C7,-3.6054,1.8051
A0A024R0D2,0.37954,0.15567
A0A024R0E2,1.2101,0.61112
A0A024R0F1,-0.3684,0.18932
A0A024R0F6,2.3147,1.1521
A0A024R0G0,-0.59593,0.37032
A0A024R0H2,-2.7586,1.3987
A0A024R0H5,-3.1063,1.6111
A0A024R0J7,2.3735,1.2514
A0A024R0L2,0.2738,0.1776
A0A024R0L4,0.33132,0.17679
A0A024R0L5,-0.27124,0.12791
A0A024R0L6,1.238,0.50376
A0A024R0M6,-2.5664,1.2917
A0A024R0N7,2.024,0.90273
A0A024R0Q0,-0.28226,0.14776
A0A024R0Q4,2.0917,1.1724
A0A024R0Q5,-3.4822,1.8543
A0A024R0Q6,0.90183,0.4897
A0A024R0R4,-2.279,1.2369
A0A024R0T1,-2.527,1.3923
A0A024R0V3,-2.0742,1.0359
A0A024R0V4,-3.6915,1.8835
A0A024R0W3,0.72053,0.33361
A0A024R0X0,-0.99679,0.40717
A0A024R0Z3,-2.1022,0.98442
A0A024R0Z5,-2.6608,1.3304
A0A024R101,-2.4257,1.3454
A0A024R102,0.52467,0.36091
A0A024R125,-1.8666,0.97127
A0A024R127,-1.61,0.92933
A0A024R128,-0.018977,0.015344
A0A024R136,-0.35337,0.17807
A0A024R150,-2.0137,0.99269
A0A024R152,-0.12326,0.18916
A0A024R161,2.7205,1.5311
A0A024R172,-1.1755,0.57382
A0A024R178,1.9992,1.0684
A0A024R188,-1.5975,0.6704
A0A024R1A3,-0.097037,0.054861
A0A024R1A4,0.3317,0.21828
A0A024R1B9,-2.4256,1.3196
A0A024R1C1,2.054,1.04
A0A024R1C2,2.6184,1.3925
A0A024R1D6,1.642,0.83106
A0A024R1G9,2.8704,1.3741
A0A024R1I5,1.1289,0.62341
A0A024R1K0,-1.4529,0.90233
A0A024R1K7,-2.3533,1.2343
A0A024R1M6,0.32704,0.21997
A0A024R1N4,-0.072313,0.20274
A0A024R1Q5,-1.084,0.58423
A0A024R1Q8,-2.3633,1.3724
A0A024R1S2,0.07429,0.0094772
A0A024R1S7,0.33834,0.14311
A0A024R1S8,-2.0428,1.0438
A0A024R1T1,-2.4446,1.3362
A0A024R1U2,-1.853,0.85472
A0A024R1U4,1.2341,0.78396
A0A024R1U5,-2.9161,1.476
A0A024R1V4,-0.73534,0.34742
A0A024R1V6,-0.65076,0.54211
A0A024R1X0,1.773,0.93212
A0A024R1X3,-1.753,0.93512
A0A024R1X5,0.59578,0.33873
A0A024R1X8,-2.1751,1.0893
A0A024R1Y0,0.50688,0.29704
A0A024R1Y2,-0.70587,0.30235
A0A024R1Y7,2.18,1.2381
A0A024R1Z1,-1.5814,0.87621
A0A024R201,2.162,1.204
A0A024R210,1.159,0.65293
A0A024R231,3.8764,1.9949
A0A024R233,-2.0613,1.0638
A0A024R248,0.23739,0.1388
A0A024R250,0.14408,0.2575
A0A024R259,-3.6248,1.8595
A0A024R275,0.58597,0.1319
A0A024R292,-0.14316,0.069007
A0A024R2A7,2.0618,1.1245
A0A024R2F2,3.1434,1.555
A0A024R2F8,2.6814,1.3663
A0A024R2G1,3.1211,1.6112
A0A024R2H7,-2.3864,1.1795
A0A024R2I7,0.98269,0.32465
A0A024R2K1,-0.76204,0.25534
A0A024R2L0,-0.34479,0.082357
A0A024R2L1,-2.7182,1.3712
A0A024R2M7,-2.7581,1.3803
A0A024R2M8,-2.1716,1.2071
A0A024R2N6,0.69741,0.29454
A0A024R2P4,1.7533,0.93819
A0A024R2P5,-0.72882,0.44228
A0A024R2Q4,-1.9189,0.93928
A0A024R2Q9,-1.1204,0.53564
A0A024R2S0,-3.1865,1.5692
A0A024R2T0,-3.2116,1.6399
