ensembl	entrez	symbol	uniprot	name
ENSG00000121410	1	A1BG	P04217	alpha-1-B glycoprotein
ENSG00000121410	1	A1BG	V9HWD8	alpha-1-B glycoprotein
ENSG00000175899	2	A2M	P01023	alpha-2-macroglobulin
ENSG00000256069	3	A2MP1	NA	alpha-2-macroglobulin pseudogene 1
ENSG00000171428	9	NAT1	P18440	N-acetyltransferase 1
ENSG00000171428	9	NAT1	Q400J6	N-acetyltransferase 1
ENSG00000171428	9	NAT1	F5H5R8	N-acetyltransferase 1
ENSG00000156006	10	NAT2	A4Z6T7	N-acetyltransferase 2
ENSG00000156006	10	NAT2	P11245	N-acetyltransferase 2
ENSG00000196136	12	SERPINA3	A0A024R6P0	serpin family A member 3
ENSG00000196136	12	SERPINA3	P01011	serpin family A member 3
ENSG00000114771	13	AADAC	P22760	arylacetamide deacetylase
ENSG00000127837	14	AAMP	A0A024R410	angio associated migratory cell protein
ENSG00000127837	14	AAMP	Q13685	angio associated migratory cell protein
ENSG00000127837	14	AAMP	C9JEH3	angio associated migratory cell protein
ENSG00000129673	15	AANAT	F1T0I5	aralkylamine N-acetyltransferase
ENSG00000129673	15	AANAT	Q16613	aralkylamine N-acetyltransferase
ENSG00000090861	16	AARS	P49588	alanyl-tRNA synthetase
ENSG00000183044	18	ABAT	P80404	4-aminobutyrate aminotransferase
ENSG00000183044	18	ABAT	X5D8S1	4-aminobutyrate aminotransferase
ENSG00000165029	19	ABCA1	B2RUU2	ATP binding cassette subfamily A member 1
ENSG00000165029	19	ABCA1	B7XCW9	ATP binding cassette subfamily A member 1
ENSG00000165029	19	ABCA1	O95477	ATP binding cassette subfamily A member 1
ENSG00000107331	20	ABCA2	Q9BZC7	ATP binding cassette subfamily A member 2
ENSG00000167972	21	ABCA3	Q4LE27	ATP binding cassette subfamily A member 3
ENSG00000167972	21	ABCA3	Q99758	ATP binding cassette subfamily A member 3
ENSG00000131269	22	ABCB7	O75027	ATP binding cassette subfamily B member 7
ENSG00000131269	22	ABCB7	A0A087WW65	ATP binding cassette subfamily B member 7
ENSG00000131269	22	ABCB7	A0A0S2Z2Z3	ATP binding cassette subfamily B member 7
ENSG00000204574	23	ABCF1	A0A1U9X609	ATP binding cassette subfamily F member 1
